id,throughput_mbps,latency_ms,jitter_ms,packet_loss_pct,avg_packet_size_B,burst_ratio,flow_duration_s,signal_strength_dBm,packets_per_second,retransmission_rate,traffic_class
1,67.0624,25.1292,2.4478,0.5302,1564.266,0.7623,291.7664,-69.5014,1288.3349,0.1941,Video_Streaming
2,0.2517,12.8079,1.2536,0.3687,108.4161,0.554,591.4062,-64.9354,39.3342,0.2423,Online_Gaming
3,2.0572,17.2212,1.7018,0.2953,191.9188,0.4697,665.7876,-68.3033,5.0342,0.2318,Online_Gaming
4,5.2994,25.0556,2.301,0.3434,584.2948,0.6485,1628.088,-67.0979,1.7788,0.181,Video_Conferencing
5,4.2102,28.0312,2.6935,0.7124,859.6607,0.5625,2367.2916,-68.9671,14.2996,0.1771,Video_Conferencing
6,5.0011,24.1016,1.9896,0.3617,1036.3463,0.6852,1963.9675,-69.2986,132.4757,0.2561,Video_Conferencing
7,99.7411,14.9605,1.1895,0.4388,1411.8664,0.7632,170.505,-74.3781,341.1349,0.299,Video_Streaming
8,70.3606,20.1401,2.162,0.3758,1411.3371,0.6613,349.6352,-69.8985,1069.462,0.1699,Video_Streaming
9,4.3844,31.4887,2.3379,0.282,814.1021,0.5467,2371.998,-63.295,112.3947,0.1065,Video_Conferencing
10,0.0996,2.6975,1.7222,0.2902,186.7265,0.341,94.7101,-83.6367,1.423,0.0,VoIP
11,39.553,25.4829,1.83,0.065,1369.9218,0.8927,88.0202,-63.9476,72.4229,0.0,File_Transfer
12,0.0077,67.2872,12.035,2.5342,54.8309,0.1219,5.8596,-82.9307,13.4895,1.0,IoT_Sensor
13,3.2258,14.764,1.4371,0.2293,203.7932,0.527,399.3637,-68.127,83.9918,0.1495,Online_Gaming
14,16.1833,33.3281,2.7045,0.0,1475.6121,0.8848,65.7135,-68.9907,1717.2496,0.1373,File_Transfer
15,0.1036,14.7364,0.8882,0.1465,176.4813,0.2761,136.7075,-63.6732,3.1035,0.0891,VoIP
16,128.576,14.9883,2.4943,0.1078,1392.9284,0.856,407.6539,-53.7937,381.9061,0.2328,Video_Streaming
17,0.0439,11.7975,0.8896,0.2877,124.8653,0.2741,93.444,-77.4614,32.0461,0.1399,VoIP
18,44.5418,6.4509,5.2342,0.1803,1478.4022,0.8134,51.8111,-77.2969,32.757,0.1473,File_Transfer
